#
# $ make update_params
# copying: public domain
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|がんばって|はなしことばに|つよくしてます| |頑張って|話し言葉に|強くしてます|
|がんばってほしい|ところである| |頑張ってほしい|所である|
|きーを|うつと| |キーを|打つと|
|きーを|おすと| |キーを|押すと|
|きいたこと|ないけど| |聞いたこと|無いけど|
|きかんちゅうに|みこまれる|せいかの|かくにん| |期間中に|見込まれる|成果の|確認|
|きがついたら|たいりょうに|しゅつげんしていた| |気がついたら|大量に|出現していた|
|きがついたら|ただの|へんたい|あつかいされていた| |気がついたら|ただの|変態|扱いされていた|
|きがついたら|てつやになっていた| |気がついたら|徹夜になっていた|
|きがむいたら|ひとり|いくかな| |気が向いたら|一人|行くかな|
|きくと|あしが|いたいという| |聞くと|足が|痛いという|
|きくところでは|うまく|いってないらしい| |聞くところでは|うまく|いってないらしい|
|きくところによると|まともに|ひょうかを|おこなっていないらしい| |聞くところによると|まともに|評価を|行っていないらしい|
|きこうと|おもって|わすれていたんですが| |聞こうと|思って|忘れていたんですが|
|きざいが|じゅよう|ぎりぎりで|まにあわない| |機材が|需要|ぎりぎりで|間に合わない|
|きしは|らくばすると|もう|おきあがれなかった| |騎士は|落馬すると|もう|起き上がれなかった|
|きせつ|はずれの|らいめいが|とどろく| |季節|外れの|雷鳴が|轟く|
|きせつが|かわる| |季節が|変わる|
|きぞんの|しゅほうの|れっか|ばんを|せっきょくてきに|りようしています| |既存の|手法の|劣化|版を|積極的に|利用しています|
|きた| |来た|
|きたい|はっせい|そうち| |気体|発生|装置|
|きたくせず| |帰宅せず|
|きちょうな|じかんを|すごせたので| |貴重な|時間を|過ごせたので|
|きちょうな|じかんを|つかってもらっているのだから| |貴重な|時間を|使ってもらっているのだから|
|きちんと|たにんの|やりかた|みんと|いかん| |きちんと|他人の|やり方|見んと|いかん|
|きったけど|まだ|もっさりしているよ| |切ったけど|まだ|もっさりしているよ|
|きつい|はなし| |きつい|話|
|きづかずに|きょねんと|おなじ|ねたを|やってしまった| |気付かずに|去年と|同じ|ネタを|やってしまった|
|きどうするのが|おそいだけだということが|わかった| |起動するのが|遅いだけだということが|分かった|
|きになって|のぞいてみたら|おもわず|かきこんでしまった| |気になって|覗いてみたら|思わず|書き込んでしまった|
|きのう|くるまで|おくってもらった| |昨日|車で|送ってもらった|
|きのうなら|よかった| |昨日なら|良かった|
|きのうの|おれいを|いわないと|いけない| |昨日の|お礼を|言わないと|いけない|
|きのうの|のみかいで|おれの|しゅみに|かんする|ぎわくが|ふじょうした| |昨日の|飲み会で|俺の|趣味に|関する|疑惑が|浮上した|
|きのうの|のみかいは|きびしかったなあ| |昨日の|飲み会は|厳しかったなあ|
|きのうより|いい|てんき| |昨日より|良い|天気|
|きのうよりも|はやおき| |昨日よりも|早起き|
|きのうを| |機能を|
|きばん|じょうに|こうそくな|しんごうせんを|はいせんする| |基板|上に|高速な|信号線を|配線する|
|きぶんを|もりあげたい|かたは|こちら| |気分を|盛り上げたい|方は|こちら|
|きみが|たのしかったら|ぼくは|まんぞくです| |君が|楽しかったら|僕は|満足です|
|きみが|にんげんなら|こたえろ| |君が|人間なら|答えろ|
|きみこそ|むりを|しれ| |君こそ|無理を|知れ|
|きみでは|うまく|できない| |君では|上手く|できない|
|きみと|わたしの|きょうつうてん| |きみと|私の|共通点|
|きみの|おかげで|ぶじに|たたかいが|おわった| |君の|おかげで|無事に|戦いが|終わった|
|きみは|どこか|とおくに|にげてください| |君は|どこか|遠くに|逃げてください|
|きゅうけつきって|ものがたりにするのが|かんたんなんでしょうかね| |吸血鬼って|物語にするのが|簡単なんでしょうかね|
|きゅうな|たに| |急な|谷|
|きゅうに|あいこんの|さいずが|ちいさくなった| |急に|アイコンの|サイズが|小さくなった|
|きゅうゆうが|いつのまにか|かいしゃを|やめていて|びっくりした| |旧友が|いつの間にか|会社を|辞めていて|びっくりした|
|きょう|でかけるのに|ほうこくしょが|できてない| |今日|出かけるのに|報告書が|できてない|
|きょうしつの|いりぐちに|いた|ひとが| |教室の|入り口に|いた|人が|
|きょうだいの|おおい|ひとほど|ゆうりかもしれない| |兄弟の|多い|人ほど|有利かもしれない|
|きょうだけ|さんか| |今日だけ|参加|
|きょうとに|いったら|よく|やまに|のぼります| |京都に|行ったら|よく|山に|登ります|
|きょうとの|やまおくに|すぎ|かふんを|あびに|いった| |京都の|山奥に|杉|花粉を|浴びに|行った|
|きょうの|１４じぐらいに|おとどけに|しっぱいしたらしい| |今日の|１４時ぐらいに|お届けに|失敗したらしい|
|きょうの|さいこう|きおんは|めでたく|３６|．|３どでした| |今日の|最高気温は|めでたく|３６|．|３度でした|
|きょうの|ほうどうによると|とうきょうとでは| |今日の|報道によると|東京都では|
|きょうの|ゆうしょくは|ひとりで|たべます| |今日の|夕食は|一人で|食べます|
|きょうは|いい|てんきですね| |今日は|良い|天気ですね|
|きょうは|かいせい|、|えんそく|びより| |今日は|快晴|、|遠足|日和|
|きょうは|のみかいです| |今日は|飲み会です|
|きょうは|はれ| |今日は|晴れ|
|きょうは|ふどうさんやに|いって|ひっこしさきの|ぶっけんを|えらんできました| |今日は|不動産屋に|行って|引越し先の|物件を|選んできました|
|きょうは|べんとうを|じさんしていない|ひだと|おもう| |今日は|弁当を|持参していない|日だと|思う|
|きょうみの|ある|かたは|じょうき|ぺーじから|もうしこんでください| |興味の|ある|方は|上記|ページから|申し込んでください|
|きょうみを|しめさない| |興味を|示さない|
|きょうも|かぜは|そらを|まう| |今日も|風は|空を|舞う|
|きょうも|きょうとて|りれきしょの|しっぴつ|ちゅう| |今日も|今日とて|履歴書の|執筆|中|
|きょうりょくな|ちからで|おさえられる| |強力な|力で|抑えられる|
|きょか|だすのが|はやすぎたんだろうなあ| |許可|出すのが|早すぎたんだろうなあ|
|きょかを|もらって|にっきの|ぶんしょうを|しゃきょうする| |許可を|貰って|日記の|文章を|写経する|
|きょくしょへんすうで|１５０こぐらい|れじすたを|つかって|しょりする| |局所変数で|１５０個ぐらい|レジスタを|使って|処理する|
|きょねんぐらいには|さつえいされていたはずです| |去年ぐらいには|撮影されていたはずです|
|きられちゃ|いけない| |切られちゃ|いけない|
|きりの|いい|ところに|とうたつしなかった| |キリの|良い|所に|到達しなかった|
|きれいに|さくらが|さいている| |綺麗に|桜が|咲いている|
|きれいに|はなが|さいた| |きれいに|花が|咲いた|
|きをぬくと|たいじゅうが|ふえて|こまる| |気を抜くと|体重が|増えて|困る|
|きんじつちゅうに|ひょうかの|ぺーじが|できるので| |近日中に|評価の|ページが|できるので|
|きんじてでしか|おうてを|はずせない|ときは|どうする| |禁じ手でしか|王手を|外せない|時は|どうする|
|きんじょの|こんびにが|へいてんする| |近所の|コンビニが|閉店する|
|きんじょの|ほんやに|おいてあった| |近所の|本屋に|置いてあった|
|ぎじゅつや|ちしきも|だいじだけど| |技術や|知識も|大事だけど|
|ぎゃくへんかん|ようなので| |逆変換|用なので|
|くいものの|わだいは|どちらかといえば|かんげいかな| |食い物の|話題は|どちらかといえば|歓迎かな|
|くうき|よめと|いってるのに| |空気|読めと|言ってるのに|
